current ,temperature,vibration
2.0222,27,3.4225
2.0279,27.19,3.4605
2.0335,27.37,3.3341
2.0423,27.5,2.7036
2.0353,27.69,3.1985
2.0365,27.81,2.8993
2.0357,27.94,2.4517
2.0469,28.06,2.6924
2.0326,28.25,2.8394
2.0446,28.37,3.6178
2.0366,28.56,2.6445
2.0373,28.69,3.5323
2.0369,28.81,2.6616
2.0379,28.94,2.9381
2.0446,29.06,2.2312
2.0327,29.19,3.751
2.0434,29.25,3.3146
2.0369,29.31,3.5624
2.0344,29.37,2.769
2.0391,29.44,3.2789
2.0258,29.56,2.5023
2.0387,29.69,3.0135
2.0452,29.75,3.5121
2.041,29.87,3.5197
2.05,29.94,3.8257
2.0593,30.06,3.5087
2.0585,30.12,2.9885
2.0524,30.19,3.3611
2.0419,30.25,2.8303
2.0486,30.31,3.174
2.0578,30.31,3.2383
2.0516,30.44,3.3872
2.0521,30.5,2.9845
2.0371,30.62,3.2171
2.0347,30.69,2.8929
2.0401,30.81,3.1445
2.039,30.81,3.0742
2.0377,30.87,2.7436
2.049,30.87,2.9497
2.03,30.94,2.9815
2.0375,31,3.5096
2.0402,31.06,2.3097
2.0401,31.12,2.9086
2.0311,31.19,2.9716
2.0461,31.19,2.0341
2.0452,31.19,3.9815
2.0416,31.19,3.1159
2.0489,31.25,3.1563
2.0332,31.25,2.6414
2.0678,31.31,2.3331
2.0638,31.31,2.5019
2.0475,31.37,2.5783
2.0622,31.37,2.6467
2.0623,31.44,3.0101
2.0454,31.44,3.9216
2.0312,31.44,3.2269
2.0344,31.44,2.3071
2.0382,31.44,1.9488
2.048,31.44,2.7041
2.0391,31.5,2.7591
2.0245,31.5,3.4294
2.0186,31.5,2.3321
2.0421,31.56,3.1102
2.0238,31.5,0
2.0113,31.56,2.6586
2.059,31.62,3.1715
2.0069,31.69,2.8395
2.0312,31.75,2.726
1.9719,31.94,3.363
1.9962,32.06,3.0918
2.0045,32.13,3.2144
2.0045,32.19,2.8522
2.004,32.31,2.9589
2.012,32.38,2.9252
1.969,32.44,3.301
1.9848,32.44,2.931
1.9947,32.5,2.9326
1.9792,32.56,2.9777
1.9824,32.63,2.9817
1.9866,32.63,2.6326
1.9862,32.63,2.9771
1.9977,32.69,2.9327
